Clinic Name,"Map location (latitude,longitude)",LAT,LONG,Address,City Location,Google Rating,Facebook Rating,Average Rating,Contact Information,Email Address,Services Offered,Pricing,Operating Hours,Customer Reviews Google,Customer Reviews Facebook
Dental Markers,"14.649346561337472, 121.09783418266272",14.64934656,121.0978342,"Block 5 Lot 6 Unit C Golden Valley Subdivision,
 Marikina, 1805 Metro Manila",Marikina City,5,5,5,"

0956 025 0680","
dentalmarkersbydm@gmail.com",#NAME?,,Mon-Sun: 10am-6pm,"Thank you Dra.Mara for a wonderful experience! i don't usually write a review but if you are
 looking for a clinic that is clean, well-maintained, has advanced equipment from digital
 x-rays to state of the art dental tools. i highly recommend to visit her clinic. parang 
""minagic"" yung ipin ko ng hindi gumagastos ng malaki kasi mas mura dito compare 
sa ibang dental clinic.


Very professional Doctor works fast and efficient.
Explained procedures and cost properly. Provides multiple options to choose from.
Very friendly too kids
Complete equipments with xray.
Will recommended 10/10


I had an appointment last Oct 14, 2021. Dr. Mara was there and accommodated us. She
 has a very gentle hands and didn't feel uncomfortable or pain during the whole procedure. 
She also walked me through our treatment plan.

The clinic is clean and feels relaxing. Patients wore PPE because of the pandemic and it's
 an extra layer of protection; it's an assurance that everything is safe.

The location is kinda tricky. I used google map but I was directed at the back of the building. 
Google map is not updated, try using waze.

Just make sure to set an appointment before coming in. You can message them on
 Facebook or the number they provided.","Offers competitive prices but delivers quality service. very responsive to all inquires, has accomodating 
staffs.provides all the documents I requested. dra took care of my wisdom tooth removal from pre to post
 minor operation.. kudos team.


Thank you Dr.Shiela and the 2 staff for the great experience and quality work you have done on my teeth. 
I am usually apprehensive about needles and it was no sweat at all.  thanks to your gentle touch. . 
See you soon.
Highly recommended😍


Totally recommend! My daughter had her odontectomy done here. Talagang high quality ang service ni
 doc and even her staff are professional and approachable. Very generous din when it comes sa discounts. 


Highly recommended. Dra. is very accommodating and nice. She really gives time to explain and answer
 questions.
I’d definitely come back. 
The place is also nice and clean.
Safety protocols are also being observed. 😊"
My Dentist SM City Marikina,"14.627464737887875, 121.08403715769784",14.62746474,121.0840372,"Lower Ground Floor, Marcos Highway, 
SM City Marikina Mall, Marikina, 1803,
 Marikina, Metro Manila",Marikina City,3,,3,9228861030,"
mydentistdental@yahoo.com",#NAME?,,,,
A & C Dental Clinic,"14.63809363415044, 121.09005394513987",14.63809363,121.0900539,"360 A. Bonifacio Ave, Marikina,
 1804 Metro Manila",Marikina City,5,,5,0943 599 2243,acdentalclinic360@gmail.com,#NAME?,,Mon-Sat: 9am-5pm,,
Dentrust dental 4 marikina branch,"14.655366259743703, 121.1024135646931",14.65536626,121.1024136,"
jocevil center, JP rizal st. Tumana marikina, 
Marikina City, Philippines",Marikina City,5,,5,,dentrustdental08@gmail.com,"-Free Consultation
-Orthodontics
-Teeth Cleaning & Whitening
-Comprehensive Dental Care
-Root Canal Treatments
-Dentures
-Veneers
-",,"Tue,Thurs & Sun: 8am-4pm",,
Sison Gimelo Dental Center Marikina,"14.651201300076487, 121.11181456592662",14.6512013,121.1118146,"2nd floor One east building, Gen. Ordonez st., 
Marikina City, Philippines",Marikina City,4.4,,4.4,0917 638 8094,"
sisongimelodental@yahoo.com","Cosmetics,Orthodontics,Dental Sedation,Pedriatic Dentistry,General Dentistry,Dental Surgery & Implants,Digital Dental Diagnostics",,Mon-Sun: 9am-6pm,"Staff and Surgeon were very kind and professional. The clinic was clean and very hygienic. Their service is worth the price and I think it's just reasonable. They even checked on me after my procedure - That's service beyond expectations. Love it here!..this will be our go-to dentist from now on. We're already excited on our next visit. Will send another feedback once my son is done with his pedia dentist appointment 😊


My daughter’s 20-month braces journey was a breeze, thanks to the reliable and professional staff. Their facilities are top notch and Doc Paolo is an excellent orthodontist!


Very approachable staff & they have many dentists with different specialists so you can address all your dental concerns.  

Great Service and ang babait nang dentist and staff. Thank you                                                                                                                      ",
DentaGem Dental Clinics - Dentist Marikina,"14.633314925280866, 121.09140468636404",14.63331493,121.0914047,"73 Geneva Street, Provident Villages, Marikina, 1804 Kalakhang Maynila",Marikina City,4.6,,4.6,273588493,contact@dentagem.com,"Dental Implants,Dental Cleaning",,Mon-Sun: 9am-5pm,"The staff and dentists are very nice. They offer affordable and good quality services. 
The scheduling is also commendable as the patient will be immediately served 
as long as you come on time on your scheduled time. Would recommend this clinic to my 
family and friends


This dental clinic provides outstanding care. I highly recommend them to anyone seeking
 dental services.I recently had my wisdom tooth removed, and thanks to Dr. Ronelle, who is
 very skilled and professional, I didn't feel any pain during or after the surgery. The staff were
 very helpful and accommodating. 
Had a great experience, and I'm definitely coming back.



They don't prioritize patients who have an appointment, like what we've experienced before we were
 scheduled at 3pm in the afternoon and we're entertained by 5pm already, and the doctor that was 
specialized in my condition have left us hanging. They haven't had follow ups for your next check ups,
 you still need to text them.",
Smilemakers Dental Clinic - Tańong Clinic,"14.63489280403389, 121.08513904589609",14.6348928,121.085139,"176 A. Bonifacio Ave, Marikina, 1803 Metro Manila",Marikina City,2.5,,2.5,9773408475,smilemakers.main@gmail.com,"X-ray,Braces,Dentures,Dental Cleaning,Restoration,Root Canal,Fixed Bridge,Jacket Crown,Tooth Extraction,Dental Veneers,Teeth Whitening,Dental Implants",,Mon-Sun: 8am-5pm,"My appointment was very swift and straightforward. The team was nice and friendly. 
The dentist who did my procedure is highly skilled and made the process very easy. 
Highly recommended and will definitely come back again for dental services.


I have gone here twice for cleaning and check ups. 
They do a really efficient job and the staff and dentists are really friendly. 
Thanks for the great service!



Very disappointed with Smile Makers Marikina Branch. 
I did cleaning and pasta but just cleaning is annoying. It's like it's just added flouride to say it's clean.
 Then my pasta, not even polished, was rough. The tooth that I am brushing is still thinning
 but the adjacent tooth is thickening. When I told the dentist, he said that there was
 nothing that could be done. Like, whaaaaaat? The dentist is old but seems like an amateur.



if they have a negative rating, they are incompetent dentists and a waste of money",
DentOasis Dental Clinic,"14.622850810710238, 121.10179020001641",14.62285081,121.1017902,"Unit 7, 2F, Marietta Arcade, Gil Fernando Ave 
San Roque Marikina City 1801 Metro Manila PH, 
Mayor Gil Fernando Ave, Marikina, Metro Manila",Marikina City,5,5,5,"
0967 615 2688",dentoasis.dental@gmail.com,"Cosmetic Dentistry,General Dentistry,
Teeth Whitening Oral Surgery,Dentures,
Pediatric Dentistry,Root Canal Treatment,
Clear Aligners & Braces",,"Mon-Sat: 10am-6pm
Sun:1pm-6pm","Thank you very much! DentOasis provided quality service in an affordable price range.
 I had two impacted wisdom tooth and I was so scared but the dentist was so gentle
 and caring althroughout the procedure. All in all I am super satisfied and eating without
 problems.



Thank you, Doctora! Ang gaan ng kamay mo, and you did a really good job with the surgery 
to remove my impacted wisdom teeth. Excellent post-surgery care, too! I would recommend
 her to everyone. One of the best dentists out there and clean, hygienic clinic.


Great experience 🤩 clinic is clean and fragrant, and the equipment is well organized. the staff
 are friendly, which I appreciate. highly recommend! 


Great experience and friendly staff. I definitely recommend this clinic to y’all folks!😊 …","ang perfect dito
cleanliness 
accomodating staff (which is my bestfriend) super 
dito di mo mafefeel na mabobored ka while waiting for your turn. May free wifi and movie kapa 
ang bait din ni doktora super. di mo ramdam yung kamay nya pag nagpabunot ka ng ngipin
 tanggal talaga kaba mo pag sya gumalaw sa ngipin mo highly recommended💯


HIGHLY RECOMMENDED!
First time ko magpabunot ng Wisdom Tooth 🦷 kasi natatakot po ako. Pero ang bait po ni 
Dra. Ruth at ng assistant nya. 😊
Sila yun tipong vina-validate yung feelings ng patient nila lalo na po kung matatakutin  
ka and make ways for you to feel relax during the surgery like playing music that you love.
 Ineexplain din sayu yun procedure na gagawin.
Thank you po Dra! 
Thank you po for unlocking one of my fears!
Dentoasis is truly a good dental service provider! 😊 
Ps: Ang gaan po ng kamay ni Dra 


Wisdom tooth removed!🤍 Dito lang talaga ako magpapabunot, kase bukod sa magaling 
at magaan yung kamay ni Dra., super bait pa nya at nung staff nya.☺️ Nawawala yung
 kaba ko sa kanila kase super maalaga. Malinis kaya alam mong safe. I will recommend
 this clinic 101%.

Wisdom tooth removed!🤍 Dito lang talaga ako magpapabunot, kase bukod sa magaling 
at magaan yung kamay ni Dra., super bait pa nya at nung staff nya.☺️ Nawawala yung 
kaba ko sa kanila kase super maalaga. Malinis kaya alam mong safe. I will recommend
 this clinic 101%.

"
Smile & Co. Dental Clinic,"14.651058768288456, 121.0969136661439",14.65105877,121.0969137,"12 Sampaguita St, Marikina, 1805 Metro Manila",Marikina City,2.7,,2.7,0915 294 2500,smileandcompanydentalclinic@gmail.com,"Cleaning,Tooth Filling,Tooth Extraction,
Dental Braces,Dentures,
Wisdom Tooth Removal,
Laser Teeth Whitening,
Root Canal Treatment,Veneers,
Other Dental Services.",,"Mon-Sat: 10am-5pm
","Good accomodations, professional staff. We'll recommend this clinic to others.


I have been visiting this dental center for almost 4 years now, and I cannot express 
enough how satisfied I am with their service. The staff is attentive and friendly, making 
sure I feel comfortable during every visit.The dentists are highly skilled and really take 
their time to explain each procedure. The clinic itself is always clean and well-maintained.


This is a great place to go to take care of your teeth. Accommodating and respectful dental staffs.


I would highly recommend DGT ONE clinic in marikina aside from the friendly staff, the doctors 
are kind and nice..they always give you advice that will improve your case fast and yet super comfortable and clean.",
Amana Dental Medical Clinics,"14.635861952792556, 121.09820112634787",14.63586195,121.0982011,"
2nd Floor Unit A EMH Building 1 Shoe Avenue,
 Sta. Elena, Marikina City, Marikina City, 
Philippines",Marikina City,4.1,4.9,4.5,09656458068 / 02 7916 4641,amanadmclinics@gmail.com,"Teeth Whitening,Dentures,
Cosmetic Tooth Restoration,
Rooth Canal Treatment,Oral Prophylaxis",,Mon-Sat:9am-5pm,"Did cleaning and pasta. Dr. Paz was kind and gentle. Great service! 👍😁 …


The dentists here and staff are kind. :) good service!!


I had a dislodged pasta to be repaired. Too expensive pasta since HMO accredited and pasta is covered and to my amazement i need to shell out 2K thats why i decided just for cleaning as i dont have enough money in my wallet. Only to find out a canal being created on my tooth that needs reconstruction. I raised it up but dedma lang ang peg😢😢😢2/20/2023","Dra. Angel and mga staff are so nice and very helpful. I told them what happened to my tooth
 and my budget and gave me discount for my procedure. I highly recommended them. 
For sure I’ll be coming back. For me I’ll give them 5 Stars.


BIG Shout out  to LUMIERE'S DENTAL CLINIC sa npaka gandang service and very
 accommodating Staff specially Po s DENTAL DOCTOR nila. Thanks so much po..


I had a very great time with Amana Dental Medical Clinic. I was immediately scheduled. 
They also sent a screenshot of the calendar invite of my appointment which I appreciated.
Arrived a little earlier than my schedule, I was welcomed and immediately seated. 
I was also asked to complete the paperwork right away. Since I was using my HMO to avail services,
 they explained what and how much was covered thoroughly to me. 
During the procedure, it didn't feel scary at all. Dr. Marlyn really ensured that the experience 
was pleasant. She was very jolly and had a very nice personality! I love her a whole lot.
 She went above and beyond the cleaning -- maximizing my HMO coverage and did the
 procedures that I need immediately. 
To sum it all up, I would definitely come back to this clinic for all my dental needs!"
DGT ONE DENTAL CENTER - MARIKINA,"14.637768049059163, 121.0909470204283",14.63776805,121.090947,"Mezzanine, Munsan 3 Mansion, 284 A. 
Bonifacio Ave, Marikina, 1804 Metro Manila,",Marikina City,4.9,,4.9,0969 513 5126,,"Dentures,Rooth Canal Treatment,
Braces,Oral Prophylaxis,Veneers,",,Mon-Sat:9am-5pm,"Good accomodations, professional staff. We'll recommend this clinic to others.


I have been visiting this dental center for almost 4 years now, and I cannot express 
enough how satisfied I am with their service. The staff is attentive and friendly, making sure I feel 
comfortable during every visit.The dentists are highly skilled and really take their time to explain 
each procedure. The clinic itself is always clean and well-maintained.


This is a great place to go to take care of your teeth. Accommodating and respectful dental staffs.


I would highly recommend DGT ONE clinic in marikina aside from the friendly staff, the doctors are 
kind and nice..they always give you advice that will improve your case fast and yet super 
comfortable and clean.",
Dr LB Dental Clinic Malanday Marikina,"14.649394021745046, 121.09661184532573",14.64939402,121.0966118,"Unit 1B, E & J Commercial Building, 
721 Jp Rizal street",Marikina City,3.5,4.9,4.2,0906 581 6444,lb.dental.clinic20@gmail.com,"Dentures,Dental Implant,Surgery,
Prosthodontics,Veneers,
Cosmetic Dentistry,Orthodontics,
General Dentistry.",,"Mon-Sat:9am-5pm 
Sun:9am-12nn","I Highly Recommend this clinic 😇sobrang ganda ng service nila since start of my appointment online napaka responsive ng chat nila and once na nasa clinic na the safety protocols must be followed and very safe lalo na this pandemic 😇 the service 10/10 yung cleaning and even the dentures they made for me is very fit 😁 and the dentist is sobrang humble and honest sa situation ng dental problem ko 😇 that’s why I’m happy and glad to recommend this clinic to others 🥰 Keep it up @Dr LB Dental Clinic.


","Highly Recommended Dental Clinic mabait mga staff pati Po c doc pag nghanap Po Ng kau Ng dental dto na Po kayo pumunta Ang babait Po nila at Ang Gaan pa Po Ng kamay n doc thanks again Dr.LB Dental Clinic sa uulitin.


Under the unexceptional care of Dr. Kate and her incredible team, especially Ms. Jane and Ms. Shein, have created a haven for restoration. As an introvert, I often find it challenging to open up, but their warm and welcoming atmosphere made me feel instantly at ease. My journey towards restoration has been nothing short of transformative, thanks to their expertise and the comfortable environment they provide. Very aesthetic place plus very jolly peeps! Highly recommended!


I had my cleaning procedure and I must say, it was a highly recommended experience! Doc Kate along with the dental staffs Ms. Jane and Ms. Sheine, were incredibly approachable and made me feel at ease throughout the entire process. From the moment I walked in, I was greeted warmly by them and made to feel comfortable in the waiting area.
Once in the chair, Dr. Kate took the time to thoroughly explain the procedure and address any concerns I had. Their expertise and professionalism were evident, and I felt confident in their care. During the cleaning, both Ms. Jane and Ms. Sheine were attentive and made sure I was comfortable at all times.
Overall, I can't recommend this branch enough! The combination of skilled professionals, a welcoming atmosphere, and top-notch care make it the go-to choice for dental needs. Thank you, Doc. Kate, Ms. Jane, and Ms. Sheine for a fantastic experience!"
"Fedellaga Dental Clinic , Marikina","14.655206776881759, 121.10528074403236",14.65520678,121.1052807,"31 A. de Guzman St, Marikina, 1800 Metro Manila",Marikina City,5,5,5,9277346767,fedellagadental@gmail.com,,,Mon-Sat:8am-5pm,"The Dentist are so accommodating and the ambiance is so relaxing.


Thank you very much, they are very good dentists..Thanks again.","Dentist is accommodating and nice. And clinic is clean and smells good. Thank you dra.


I would absolutely recommend, Our Family is using her Dental Services since 2008 and she is absolutely
 great."
Lf Salvador Dental Clinic - Dentist In Marikina,"14.634446229382371, 121.09626852260466",14.63444623,121.0962685,"Unit 3-L, 177 W Paz, Marikina, 1800 Kalakhang
 Maynila",Marikina City,4.4,5,4.7,9178327890,,"Free Dental Check-Up,Oral Prophylaxis,
Orthodontics,Prosthodontics,
Extractions,Rooth Canal Treatment,
Cosmetic/Restorative Treatment.",,Mon-Sat:8am-5pm,"A great dentist and give honest opinion regarding the health of your teeth. Plus not so expensive. 
Recommend it especially to all seafearer. Go ride LRT via santolan station. Go out and go to the 
other side of the road. Go behind the building and ask motorcycle ride to palengke. I will return in
 the near future. Thanks doc. Great job 😁


Awesome experience of having dental procedures without the feeling of being in a hospital/clinic.
  Very clean!!!


Thank you. Your service is great, my bf was very scared to have 4 teeth extracted, he was relaxed, 
the dentist was kind and the extraction was quick. Recommend this dental clinic ☺️👍♥️ great job. …


No one's answering. The lines keep ringing. I've been trying to get a hold of someone for a few 
days and both your landline and phone number just let them ring.. So frustrating 😒 …","Great dental exeperience, hand is light and ease, organized and clean clinic. Thanks Doc!



5 star highly recommended !!
removal of impacted wisdom tooth. 2 years of suffering.
smooth, komportable at nakakabiruan pa c doc during operation kahit kabadong kabado.
almost 30 mins natapos ang operasyon masasabi kong magaling talaga si doc
...after 10 days magaling na at nakakakain na ng maayos
maraming salamat.


"
Quiambao Dental Clinic,"14.642865508530617, 121.12220092723088",14.64286551,121.1222009,"51 Lilac St, Marikina, 1800 Metro Manila",Marikina City,5,5,5,0967 287 3555,quiambaodentalclinic@gmail.com,"Oral Prophylaxis,Flouride Treatment,
Tooth Filling,Oral Surgery,
Root Canal Therapy,Dental Crowns,
Dental Bridges,Full Denture,
Partial Denture,Orthodontic Treatment,
Teeth Whitening,Periapical Radiograph.",,Mon-Sun:9am-6pm,"My original dentist migrated out of the contry, it took me almost a year to find the courage to look
 for a new Dentist. No regrets here. Thank you! Facilities 5/5 Service 5/5 Cleanliness 5/5 Be back soon!


The place is very clean and comfortable. The dentist is kind, approachable and informs the client 
well of the options and procedures.


Superb Service. Incredibly clean facility. I highly recommend this clinic.","Great service! Doc was very informative & really nice. Would love to come to the clinic for my future 
dental needs!


Home away from home.🦷✨
My bff, Meg, recommended Quiambao Dental Clinic. They are located in Marikina. Dr. Nica and her
 staff are warm and welcoming. They accommodated me despite the short notice. Dr. Nica is
 very professional, she takes time to explain what needs to be done and goes the extra mile to make
 you feel comfortable. 


Awesome work 🙌🏻 treatment and procedure from Doc Nica went extremely pleasant, 
no complications at all. Safe to say, all expectations were S U R P A S S E D. 
Found my new dentist and clinic! HIGHLY RECOMMENDED.


Fast and hassle-free dental appointment from the scheduling up to the day of the appointment! 
The reception area and the clinic itself has a chic and modern atmosphere and they really follow
 strict procedures for safety. Dra. Nica handled my oral prophylaxis really well with light hands!
 Highly recommended!


Dra. Nica is highly recommended, very nice and friendly. The staff is nice too. The dental clinic is
 very clean and vibrant. It really follows all safety protocols. I just found a dentist and clinic that I'll go back to!"
JA. Hortizuela Dental Clinic - Marikina,"14.6539617509989, 121.11400584069939",14.65396175,121.1140058,"Unit B, Brgy, 443 Gen. Ordoñez St, Marikina, 
1810 Metro Manila",Marikina City,,4.7,4.7,0976 098 7356,ja.hortizueladentalclinic@gmail.com,"Oral Prophylaxis,Tooth Restoration,
Tooth Extraction,Dentures,Veneers,
Retainers,Fixed Bridge,Dental Braces,
Teeth Whitening,Rooth Canal Treatment,
Flouride Application,
Wisdom Tooth Removal,
Crown Lengthening.",,Mon-Sun:9am-5pm,,"I highly recommend this Dental Clinic. Ang accommodating ni Doc and ng Assistant.
 Magaan din yung kamay ni Doc every adjustment ng braces ko.


First Dental Visit🦷✨
Super thankyou po kay Doc at sa Assistant nya☺️ Super bait,Knowledgeable and Informative ni Doc.
 Super ganda din ng place at malinis pa😍😍
Overall experience is⭐⭐⭐⭐⭐😁 highly recommended to All And  FRIENDLY CLINIC! 


This is by far the cleanliest dental clinic I have visited in Marikina.
Sobrang gaan ng kamay ni Doc, hindi mo mararamdaman. This helped a lot kaya di ako natakot
 sa dental procedure na ginawa sakin.
Will surely comeback and will recommend to my family and friends.
Thank you and God bless, Doc and DGT staff!


The staff are professional and friendly. I can highly recomended this doctor & clinic. 
The clinic is clean and the price ay SWAK sa Budget 🤩🤩 come and visit DGT clinic."
Krystal Smiles Ortho-Dental Clinic,"14.662348502147589, 121.11246088845465",14.6623485,121.1124609,"Unit A, #41 G. Del Pilar St, corner M. L. Quezon St,
 Marikina, 1809",Marikina City,3.4,4.7,4.05,9498857118,krystalsmiles.dental@gmail.com,"Orthodontics,Craniodontics(TMJ),
Aesthetic Dentistry,Implant,Surgery,
Periodontics,Pediatric Dentistry,
Restorative,Endodontics,Digital X-Ray,
Prosthodontics.",,"Mon-Sat:8am-6pm
Sun:8am-5pm","Procedures are cheaper than the other clinics… specifically the x-rays. Staff are friendly and efficient.
 Recommended 😊👍🏻 …


The staff is friendly, but the service is poor. I want to share my experience, and I expect that this 
clinic has better offers than others. Before I do their dental cleaning, I ask about the price. It ranges
 between 800-1100, but right after they saw my teeth, they told me that it cost 1500. Yeah, I agreed
 because I'm already there and the offers is too expensive and it will cost you more than other clinics.

My recommendation is that before you accept the services, make sure that the price is clear.

This is my mouth after the cleaning, and as you can see, there are some teeth that are still not cleaned. 
The doctor recommended that I go back next month to do another cleaning for them to be able to 
make sure that my teeth are clean.","Very satisfied. Accommodating staffs. Good service. A bit pricey but worth it. My son didn't feel 
the any pain after tooth extraction up to healing process and the outcome is great. We'll back soon.
 Thank you.


If you are looking for a Pofessional and Caring Dentist Dr. Vangie Valencerina the one too see. 
Every visit has been wonderful. It is nice knowing your dentist loves her work and makes
 your experience comfortable. Also she has a great staff from being sweet answering every question
 I had thoroughly to his helpful assistants. Great teamwork is seen. Thank you for my beautiful smile.


Thank you po Dr. Vangie😍😘The Best Dental Clinic - Best Dentist  super gaan ng kamay wala man lang 
ako naramdamang sakit😍- Friendly staffs and Cool place to make your smile great.


"
Rivera Dental Clinic - Marikina,"14.653712634668581, 121.1114309202915",14.65371263,121.1114309,"M426+HVF, Gen. Ordoñez Avenue, Ladislaw
 Diwa St, Marikina, Metro Manila",Marikina City,5,,5,0966 170 3787,,"General Dentistry,Orthodontics,
Esthetics,Oral surgery",,Mon-Sat:9am-7pm,,
ADT Dental Clinic,"14.633865457342107, 121.1013887307006",14.63386546,121.1013887,"Mayor Gil Fernando Ave, Marikina, 1811 Metro
 Manila",Marikina City,4.5,,4.5,0927 869 3032 / 8631 5339,fdo.adtdentalclinic@gmail.com,"Tooth Restoration,Oral Prophylaxis,
Lingual Retainer,Tooth Extraction,
Dentures Installation,Braces Installation,
Root Canal Treatment,Porcelain
Jacket crown,Odontectomy,",,Mon-Sun: 8am-5pm,"Really great place and very accommodating staff. Place ambiance is great and procedures are
done carefully and gently! Would recommend this dental place to everyone.


I am very satisfied with the services I experienced in ADT Clinic. From inquiring, which their staff 
answered very swiftly, to the actual procedures, which were done with care, by the dentist . 
I can say that I left the clinic wearing the perfect smile on my face🥰 Highly recommended.
 We are also planning to have my son's braces here as well.💕


Very nice and well Satisfied and also friendly Dentist and Staff, I Recommend ATD Dental Clinic 
specially at Antipolo Branch for your Oral Problems... 😘🥰♥️👍✌️👏 Good job!!!


This clinic is by far the most accommodating clinic Ive ever been, specially if you are HMO Holder.
 No hassle, all the staff from the security, reception to doctors are very approachable and nice. 
Super comfy.Ive been to a lot of clinics wherein I used my HMO Cards and they treated me as a 
less priority. But here in ADR, I felt very special. Thank you ADT, keep up the good work.",
Mama Doc Dental Center,"14.651168782948297, 121.11727958859143",14.65116878,121.1172796,"2F Terraza Phase, C&B Circle Mall, Liwasang 
Kalayaan, Marikina, 1810 Metro Manila",Marikina City,5,,5,0945 162 9226,mamadocdentalcenter@gmail.com,"General Dentistry,Orthodontics,
Endodontics,
- Oral Prophylaxis (Cleaning)
- Tooth Restoration (Pasta)
- Tooth Extraction
- c (Crown, Bridge, Removable)
- Periapical X-ray",,Mon-Sun:9am-7pm,,"I highly recommend this dental clinic! Thank you, Doc Hernandez and her staff for being accommodating. 
The clinic is clean, cozy, and Doc Hernandez has gentle hands that make you feel like you're
 about to fall asleep.God bless!


"
The Patricio Dental Plaza,"14.628214975853403, 121.08397533519013",14.62821498,121.0839753,"SM Marikina, Marikina-Infanta Hwy,
 Marikina, 1801 Metro Manila",Marikina City,2.3,,2.3,09171549688 | 09228692170,patriciodentalplaza@yahoo.com,"Periodontics,Prosthodontics,
Operative Dentistry,Pediatric Dentistry
Orthodontics,Oral Surgery,
Radiographic Dentistry,Endodontics",,Mon-Sun:10am-9pm,"This is the online review you're looking for about this shady dental clinic led by unskilled dentists. 
If you care about your teeth and want to avoid the nightmare I went through, stay far away from 
Patricio Dental Plaza, owned by Drs. Ernest and Lhannie Patricio, with branches in Ayala Feliz Mall, 
SM City Masinag, and Quezon City. I went to their clinic for a root canal and veneers consultation. 
The 2 doctors confirmed that I indeed needed a root canal based on my x-ray. I also went in for the 
veneers with the explicit instruction to Dr. Lhannie that I chose composite veneers instead of
 porcelain veneers because there was no tooth shaving involved. She assured me there won't be any
 tooth shaving. For these procedures, I went to the clinic 3 times, and each visit took more than 7 hours.
 (That's how you know they're unskilled and don't know what they're doing. The root canal retreatment 
took 45 minutes in the US.) Let me first talk about the root canal done by Dr. Ernest Patricio. The root
 canal took nearly 2 hours, and I thought everything was okay. The long procedure left me thinking it 
was done correctly. However, upon my return to the US in February 2024, I experienced excruciating pain.
 Shockingly, my US dentist revealed that NO ROOT CANAL was performed. An endodontist later confirmed 
this, saying that Dr. Patricio came close to drilling the canal but gave up, sealing my tooth in bad faith.
 This deceitful behavior endangered my health and left me financially burdened with the cost of a
procedure that never happened. The nightmare continued with my composite veneers, which deteriorated 
within 3 months, leading to exposed enamel and heightened sensitivity. The discovery that my teeth had 
indeed been shaved during the botched procedure added insult to injury. Now, I'm left with no choice 
but to seek porcelain veneers, incurring further expenses due to the clinic's incompetence. I can never 
get back what I lost (see pics below of before and after). Their dental advices were also wrong. 
Dr. Lhannie suggested I refrain from flossing with my composite veneers and even recommended
 using baking soda to clean them, a practice universally frowned upon by dental professionals due
 to its abrasive nature. They will also try to upsell procedures or devices you don't need. Dr. Lhannie 
sold me a device to correct my nonexistent TMJ problem, which cost P30,000. My US dentist said I didn't have TMJ. Despite my attempts to address these issues with Patricio Dental Plaza and seek a partial refund (total cost was P450,000) for their negligence, they have chosen not to respond. Your teeth deserve better care than what you'll get there. Save yourself the headache and find a skilled dentist.",
HealthTeeth Dental Clinic,"14.647838843986984, 121.11218225110854",14.64783884,121.1121823,"105 Gen. Ordoñez St, St, Marikina, 
1810 Metro Manila",Marikina City,5,5,5,0905 339 9179 / 0969 013 0160,,"Oral Prophylaxis,Prosthodontic Treatment
Flouride&Sealant Application
Tooth Restoration,Tooth Extraction,
Dental Surgery,Root Canal Treatment,
Teeth Whitening,Mouth Guards,
Esthetics,Orthodontics,Periapical
Radiograph.",,Mon-Sat:9am-6pm,,"Dr. Nina is very nice and knowledgeable. Before a procedure, she thoroughly explains the steps involved 
and why they are necessary. She is also very patient in answering a patient's questions and shows in-depth
 knowledge of all things dental. Ms. Weng is a very pleasant receptionist/assistant. I am very pleased that 
HealthTeeth takes care of my family's teeth.


"
J&E Guardamano Dental Clinic,"14.651589077010582, 121.1041215340817",14.65158908,121.1041215,"7 1800 A. Guisama St, Marikina, 1800 Metro Manila",Marikina City,5,5,5,09157678041 / 02-8-6331025,,"•Consultation
•Oral Prophylaxis
•Composite Restoration
•Oral Surgery
•Wisdom Tooth Removal
•Root Canal Therapy
•Prosthodontics (Crown, Bridge, Denture)
•Cosmetic Dentistry (Veneers) 
•Teeth Whitening
•Orthodontics
•Implant Dentistry ",,Mon-Sat:9am-6pm,,"I love this dentist and staff. I'm so comfortable when I'm there. They are all so friendly and you feel you are a priority to them. You walk in and they immediatly stop what they are doing and greet you. One of the best dental clinics indeed!


"
De Vera. Velarde Dental Clinic,"14.648267466693689, 121.0965684342185",14.64826747,121.0965684,"Graceland Plaza (Ground Floor beside Handyman)
JP Rizal St. Malanday, Marikina City, Philippines",Marikina City,3,,3,0907 378 5231,"
dvdc.dental@gmail.com","Oral Prophylaxis,Tooth Extraction,
Root Canal Treatment,Dentures,
Dental Surgery,Orthodontics Treatment,
TMJ Treatment.","*Price ranges from Php 500.00 - 
40,000 depending on the case 
of your teeth.",Mon-Sat:10am-6pm,,
Tan-Villasanta Optical & Dental Clinic,"14.653166824275774, 121.1112454805436",14.65316682,121.1112455,"
Branch 1Unit U-1 2nd floor Paraclete Bldg #90
 T.Bugallon Street Bayan-bayanan Avenue,
 Marikina Heights, Philippines",Marikina City,3,,3,8-948-5250 / (0945) 211 9419,"
tanvillasantadocs93@yahoo.com",,,"
Mon-Sun:8am-6pm","Found cheaper price of root canal treatment somewhere but I still chose 
their clinic because the dentists are all very accommodating and kind 🥹
 May God bless them more ❤️ …",
